title,release_year
How to Swim,1942
Hulk and the Agents of S.M.A.S.H.,2012
I'll Be Home for Christmas,1998
Ice Age: The Great Egg-Scapade,2016
Ice Princess,2005
Inner Workings,2016
Inside Out,2015
Inspector Gadget,1999
Inspector Gadget 2,2003
Into the Grand Canyon,2019
Into the Okavango,2018
Invincible,2006
Invisible Sister,2015
Iron Man (Series),1994
Iron Man Armored Adventures,2008
Iron Will,1994
Jack,1996
Jack-Jack Attack,2005
James and the Giant Peach,1996
Jane,2017
Jessie,2011
Jingle Pols,2013
Johnny Kapahala: Back on Board,2007
Johnny Tsunami,1999
Jonas Brothers: The Concert Experience,2009
Journey to Shark Eden,2010
Journey to the Center of the Earth,1959
Jump In!,2007
Jumping Ship,2001
Jungle 2 Jungle,1997
Jungle Cat,1960
Kazaam,1996
Kickin' It,2010
Kim Possible,2019
Kim Possible Movie: So the Drama,2005
Kingdom of the Apes: Battle Lines,2017
Kingdom of the Blue Whale,2009
Kingdom of the White Wolf,2019
Kitbull,2019
Knick Knack Theatrical Short,2003
Kronk's New Groove,2005
La Luna,2012
Lab Rats,2011
Lady and the Tramp,2019
Lava,2015
LEGO Disney Frozen: Northern Lights (Shorts),2016
LEGO Star Wars: All Stars,2018
LEGO Star Wars: All Stars (Shorts),2018
LEGO Star Wars: Droid Tales,2014
LEGO Star Wars: Resistance Rises (Shorts),2015
LEGO Star Wars: The Freemaker Adventures,2015
LEGO Star Wars: The Freemaker Adventures (Shorts),2016
LEGO Star Wars: The New Yoda Chronicles - Clash of the Skywalkers,2014
LEGO Star Wars: The New Yoda Chronicles - Raid on Coruscant,2014
LEGO Star Wars: The New Yoda Chronicles – Duel of the Skywalkers,2014
LEGO Star Wars: The New Yoda Chronicles – Escape from the Jedi Temple,2014
LEGO Star Wars: The New Yoda Chronicles – Race for the Holocrons,2014
Lemonade Mouth,2011
Lend a Paw,1941
Leroy & Stitch,2006
Let it Shine,2012
Life is Ruff,2005
Life With Mikey,1993
Life-Size 2,2018
Lifted,2006
Lilo & Stitch,2002
Lilo & Stitch 2: Stitch Has a Glitch,2005
Lizzie McGuire,2000
Lonesome Ghosts,1937
Lost Treasures of the Maya,2018
Lou,2017
Luck of the Irish,2001
Luxo Jr.,1986
Magician Mickey,1937
Mail Dog,1947
Man Among Cheetahs,2017
Mars: Inside SpaceX,2018
Marvel Comics X-Men,1992
Marvel Rising: Initiation (Shorts),2017
Marvel Rising: Secret Warriors,2018
Marvel Studios: Assembling A Universe,2014
Marvel Studios: Expanding the Universe,2019
Marvel Studios' Ant-Man,2015
Marvel Studios' Avengers: Age of Ultron,2015
Marvel Studios' Avengers: Endgame,2019
Marvel Studios' Captain America: Civil War,2016
Marvel Studios' Captain America: The First Avenger,2011
Marvel Studios' Captain America: The Winter Soldier,2014
Marvel Studios' Captain Marvel,2019
Marvel Studios' Doctor Strange,2016
Marvel Studios' Guardians of the Galaxy,2014
Marvel Studios' Guardians of the Galaxy Vol. 2,2017
Marvel Studios' Iron Man,2008
Marvel Studios' Iron Man 2,2010
Marvel Studios' Iron Man 3,2013
Marvel Studios' The Avengers,2012
Marvel Studios' Thor,2011
Marvel Studios' Thor: The Dark World,2013
Marvel Ultimate Spider-Man,2011
Marvel's Agent Carter,2014
Marvel's Ant-Man (Shorts),2016
Marvel's Avengers Assemble,2012
Marvel's Avengers: Secret Wars (Shorts),2016
Marvel's Guardians of the Galaxy (Series),2015
Marvel's Guardians of the Galaxy (Shorts),2014
Marvel's Hero Project,2019
Marvel's Inhumans,2017
Marvel's Rocket & Groot (Shorts),2016
Marvel's Ultimate Comics,2016
Mary Poppins,1964
Mater and the Ghostlight,2006
Meet the Deedles,1998
Meet the Robinsons,2007
Melody Time,1948
Mickey Down Under,1948
Mickey Mouse (Shorts),2012
Mickey Mouse Club (1955-59),1955
"Mickey, Donald, Goofy: The Three Musketeers",2004
Mickey's Birthday Party,1942
Mickey's Christmas Carol,1983
Mickey's Delayed Date,1947
Mickey's Once Upon a Christmas,1999
Mickey's Rival,1936
Mickey's Trailer,1938
Mickey's Twice Upon a Christmas,2004
Mighty Joe Young,1998
Mike's New Car,2002
Minutemen,2008
Miracle,2004
Miracle at Midnight,1998
Miracle in Lane 2,2000
Miracle Landing on the Hudson,2014
Mission to the Sun,2018
Moana,2016
Mom's Got a Date With a Vampire,2000
Monsters University,2013
"Monsters, Inc.",2001
Motocrossed,2001
Mr. Boogedy,1986
Mr. Duck Steps Out,1940
Mr. Mouse Takes a Trip,1940
Mulan II,2005
Muppet Moments (Shorts),2014
Muppet Treasure Island,1996
Muppets Most Wanted,2014
My Favorite Martian,1999
My Friends Tigger & Pooh,2006
National Treasure: Book of Secrets,2007
Newsies,1992
Newsies: The Broadway Musical,2017
Noelle,2019
Now You See It,2005
Olaf's Frozen Adventure,2017
Old Yeller,1957
Oliver & Company,1988
Once Upon a Mattress,2005
One Magic Christmas,1985
One Man Band,2006
Operation Dumbo Drop,1995
Origins: The Journey of Humankind,2016
Out of the Box,1998
Paris To Pittsburgh,2018
Partly Cloudy,2009
Party Central,2014
Perri,1957
Pete's Dragon,2016
Peter Pan,1953
Peter Pan: Return to Never Land,2002
Phantom of the Megaplex,2000
Phil of the Future,2003
Phineas and Ferb,2007
Phineas and Ferb the Movie: Across the 2nd Dimension,2011
Phineas and Ferb: Mission Marvel,2013
Piglet's Big Movie,2003
Pinocchio,1940
Piper,2016
Pirates of the Caribbean: At World's End,2007
Pirates of the Caribbean: Dead Man's Chest,2006
Pirates of the Caribbean: The Curse of the Black Pearl,2003
Pixar In Real Life,2019
Pixel Perfect,2004
Planet of the Birds,2018
Pluto and the Gopher,1950
Pluto's Christmas Tree,1952
Pluto's Surprise Package,1949
Pluto's Sweater,1949
Pocahontas,1995
Pocahontas II: Journey to a New World,1998
Pollyanna,1960
Pooh's Grand Adventure: The Search for Christopher Robin,1997
Pooh's Heffalump Movie,2005
Presto,2008
Princess Protection Program,2009
Purl,2019
Quack Pack,1996
Queen of Katwe,2016
Quints,2000
Ratatouille,2007
Read It and Weep,2006
Ready to Run,2000
Recess: All Growed Down,2003
Recess: School's Out,2001
Recess: Taking the 5th Grade,2003
Red's Dream,1987
Remember the Titans,2000
Rescue Dog,1947
Return from Witch Mountain,1978
Return to Halloweentown,2006
Return to Oz,1985
Richie Rich's Christmas Wish,1998
Right on Track,2003
Riley’s First Date?,2015
Rip Girls,2000
Robin Hood,1973
Rocky Mountain Animal Rescue,2018
Rogue One: A Star Wars Story,2016
Roving Mars,2006
Ruby Bridges,1998
Sacred Planet,2004
Saludos Amigos,1943
"Sammy, The Way-Out Seal",1962
Sanjay's Super Team,2015
Santa Paws 2: The Santa Pups,2012
Santa's Workshop,1932
Saving Mr. Banks,2013
Science Fair,2018
Sea of Hope: America's Underwater Treasures,2017
Secret of The Wings,2012
Secretariat,2010
Secrets of Christ's Tomb: Explorer Special,2017
Secrets of Life,1956
Secrets of the King Cobra,2012
Shake It Up,2010
Sharks of Lost Island,2013
Sharpay's Fabulous Adventure,2011
Shipwrecked,1991
Silver Surfer,1997
Simpsons Movie,2007
Sister Act,1992
Sister Act 2: Back in the Habit,1993
Skyrunners,2009
Sleeping Beauty,1959
Smart House,1999
Smash and Grab,2019
Snow White and The Seven Dwarfs,1937
Snowball Express,1972
Snowglobe,2007
So Weird,1999
Society Dog Show,1939
Spider-Man (Shorts),2016
Spider-Man and His Amazing Friends,1982
Spider-Man Unlimited,1999
Spider-Woman,1979
Star Wars Forces of Destiny (Shorts),2016
Star Wars Rebels,2014
Star Wars Rebels (Shorts),2014
Star Wars: A New Hope (Episode IV),1977
Star Wars: Attack of the Clones (Episode II),2002
Star Wars: Blips,2019
Star Wars: Return of the Jedi (Episode VI),1983
Star Wars: Revenge of the Sith (Episode III),2005
Star Wars: The Empire Strikes Back (Episode V),1980
Star Wars: The Force Awakens (Episode VII),2015
Star Wars: The Phantom Menace (Episode I),1999
Starstruck,2010
Steamboat Willie,1928
Stepsister from Planet Weird,2000
Stitch! The Movie,2003
Stonehenge Decoded: Secrets Revealed,2008
Stuck in the Suburbs,2004
Sultan and the Rock Star,1980
Super Buddies,2013
Swiss Family Robinson,1940
TaleSpin,1990
Tall Tale,1995
Tangled,2010
Tangled Before Ever After,2017
Tarzan & Jane,2002
Teacher's Pet,2004
Teen Beach 2,2015
Teen Beach Movie,2013
Teen Spirit,2011
That Darn Cat,1997
That Darn Cat!,1965
The Absent-Minded Professor,1961
The Adventures of André & Wally B.,1984
The Adventures of Bullwhip Griffin,1967
The Adventures of Huck Finn,1993
The Adventures of Ichabod and Mr. Toad,1949
The Adventures of Spin and Marty,1955
The African Lion,1955
The Apple Dumpling Gang,1975
The Apple Dumpling Gang Rides Again,1979
The Aristocats,1970
The Art of Skiing,1941
The Avengers: Earth's Mightiest Heroes,2010
The Avengers: United They Stand,1999
The Band Concert,1935
The Bears and I,1974
The Big Bad Wolf,1934
The Biscuit Eater,1972
The Black Cauldron,1985
The Black Hole,1979
The Blue Umbrella,2013
The Book of Once Upon a Time,2014
The Book of Pooh,2000
The Brave Little Toaster Goes to Mars,1998
The Castaway Cowboy,1974
The Cheetah Girls,2003
The Cheetah Girls 2,2006
The Cheetah Girls: One World,2008
The Christmas Star,1986
The Chronicles of Narnia: Prince Caspian,2008
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005
The Color of Friendship,2000
The Computer Wore Tennis Shoes,1969
The Country Bears,2002
The Emperor's New Groove,2000
The Even Stevens Movie,2003
The Flood,2018
The Fox and the Hound,1981
The Fox and the Hound 2,2006
The Game Plan,2007
The Ghosts of Buxley Hall,1980
The Goddess of Spring,1934
The Golden Touch,1935
The Good Dinosaur,2015
The Great Muppet Caper,1981
The Greatest Game Ever Played,2005
The Haunted Mansion,2003
The Hockey Champ,1939
The Hunchback of Notre Dame,1996
The Hunchback of Notre Dame II,2002
The Imagineering Story,2019
The Incredible Journey,1963
The Incredibles,2004
The Journey of Natty Gann,1985
The Jungle Book 2,2003
The Jungle Book: Mowgli's Story,1998
The Legend of Mor'du,2012
The Lion King 1 1/2,2004
The Lion King 2: Simba's Pride,1998
The Little Mermaid,1989
The Little Mermaid II:  Return to the Sea,2000
The Little Mermaid:  Ariel's Beginning,2008
The Little Whirlwind,1941
The Living Desert,1953
The Lizzie McGuire Movie,2003
The Lost Tomb of Alexander the Great,2019
The Love Bug (1969),1969
The Many Adventures of Winnie the Pooh,1977
The Million Dollar Duck,1971
The Mistle-Tones,2012
The Muppet Christmas Carol,1992
The Muppet Movie,1979
The Muppets,2011
The Muppets (Series),2015
The New Adventures of Winnie the Pooh,1988
The Old Mill,1937
The Olympic Champ,1942
The Parent Trap,1998
The Parent Trap (1961),1961
The Pied Piper,1933
The Plausible Impossible (Disneyland: 1954-58),1956
The Poof Point,2001
The Prince and the Pauper,1962
The Princess and the Frog,2009
The Princess Diaries,2001
The Princess Diaries 2: Royal Engagement,2004
The Proud Family Movie,2005
The Reluctant Dragon,1941
The Replacements,2006
The Rescuers,1977
The Rescuers Down Under,1990
The Rookie,2002
The Santa Clause,1994
The Santa Clause 2,2002
The Santa Clause 3: The Escape Clause,2006
The Scream Team,2002
The Secret of the Magic Gourd,2009
The Shaggy D.A.,1976
The Shaggy Dog,1959
The Sign of Zorro,1960
The Simple Things,1953
The Sound of Music,1965
The Story of Robin Hood And His Merrie Men,1952
The Strongest Man in the World,1975
The Suite Life Movie,2011
The Suite Life of Zack & Cody,2004
The Suite Life On Deck,2008
The Swap,2016
The Thirteenth Year,1999
The Three Caballeros,1945
The Three Musketeers,1993
The Tigger Movie,2000
The Tortoise and the Hare,1935
The Ugly Dachshund,1966
The Ugly Duckling,1939
The Ultimate Christmas Present,2000
The Vanishing Prairie,1954
The Wild,2006
The Wise Little Hen,1934
The Wizards Return: Alex vs. Alex,2013
The World According to Jeff Goldblum,2019
The Young Black Stallion,2003
Three Blind Mouseketeers,1936
Three Days,2001
Three Little Pigs,1933
Three Little Wolves,1936
Three Men and a Baby,1987
Three Men and a Little Lady,1990
Thru the Mirror,1936
Tiger Cruise,2004
Tim Burton’s The Nightmare Before Christmas,1993
Timon & Pumbaa,1995
Tin Toy,1988
Tinker Bell,2008
Tinker Bell and the Great Fairy Rescue,2010
Tinker Bell and the Lost Treasure,2009
Titanic: 20 Years Later With James Cameron,2017
Toby Tortoise Returns,1936
Tom and Huck,1995
Toy Story,1995
Toy Story 2,1999
Toy Story 3,2010
Toy Story Toons: Hawaiian Vacation,2011
Toy Story Toons: Partysaurus Rex,2012
Toy Story Toons: Small Fry,2011
Trail of the Panda,2009
Trailer Horn,1950
Treasure Island,1950
Treasure of Matecumbe,1976
Treasure Planet,2002
Tree Climbing Lions,2018
Tron,1982
Tru Confessions,2002
Tuck Everlasting,2002
Tugboat Mickey,1940
Twas the Night,2001
Twitches,2005
Twitches Too,2007
Unidentified Flying Oddball,1979
Up,2009
"Up, Up and Away",2000
Valiant,2005
Waking Sleeping Beauty,2010
WALL-E,2008
Wendy Wu: Homecoming Warrior,2006
Whispers: An Elephant's Tale,2000
White Fang,1991
Who Framed Roger Rabbit,1988
Wild Yellowstone,2015
Winged Seduction: Birds of Paradise,2012
Winnie the Pooh,2011
Winnie the Pooh: A Very Merry Pooh Year,2002
Winnie the Pooh: Springtime with Roo,2004
Winter Storage,1949
Wizards of Waverly Place,2007
Wizards of Waverly Place: The Movie,2009
Wolverine and The X-Men,2008
World's Greatest Dogs,2015
Wreck-It Ralph,2012
X-Men: Evolution,2000
Ye Olden Days,1933
Yellowstone Cubs,1963
You Lucky Dog,1998
You Wish!,2003
Your Friend the Rat,2007
Z-O-M-B-I-E-S,2018
Zapped,2014
Zenon: Girl of the 21st Century,1999
Zenon: The Zequel,2001
Zenon: Z3,2004
Zootopia,2016
Bedknobs and Broomsticks,1971
Blackbeard's Ghost,1968
Brave Little Tailor,1938
Justin Morgan had a Horse,1972
Lady and the Tramp II: Scamp's Adventure,2001
Smart Guy,1996
The Cat from Outer Space,1978
The Great Mouse Detective,1986
The Sword in the Stone,1963
Those Calloways,1965
Disney Kirby Buckets,2014
Disney Mech-X4,2016
Imagination Movers,2008
Tomorrowland,2015
Aquamarine,2006
Ice Age: Dawn Of The Dinosaurs,2009
X-Men Origins: Wolverine,2009
Night at the Museum: Battle of the Smithsonian,2009
Eddie the Eagle,2016
Bend It Like Beckham,2003
Captain Sparky vs. The Flying Saucers,2012
